Q602,8b_0_GROUP,8b_1_GROUP,8b_2_GROUP,8b_3_GROUP,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,t
535,",,,",",,,",",,, ",",,,",3,,,,2,,,,,,4,,,,,1,,,,2,,,1,,4,,,,3,,,,,,2,,,,,1,,4,,,,,3,,,2,,,,1,,,,,,4,,3,,,1
536,",,, ",",,,",",,,",",,,",,1,,,,,,,,4,,2,,3,,,4,,,,2,,,,,,3,,,,,1,,,,3,,4,,,1,,,,2,,,,,,3,,,,2,4,,,,,,,1,,1
537,",,,",", ,,",",,,",",,,",,,,,,,4,,2,,,,1,,3,,,4,,,,3,,,,2,,,,1,,,,,4,1,,,,3,,,,2,,,,,4,,,,2,,,,,,1,,,,,3,1
538," ,,,",",,,",",,,",",,,",,4,,,,2,,,,1,,,,3,,,,,,,,,3,,2,,,4,1,,,,,,3,2,1,,,4,,,,,,,,,4,,,,,,,,,,2,,,,1,3,1
539,",,,",",, ,",",,,",",,,",,,,,2,,,,,,1,,,3,,4,4,,2,,,1,,,,3,,,,,,,,4,,3,,,1,,,,,,2,,,,,,,,,,,2,3,,,4,,,1,,1
540,",,, ",",,,",",,,",",,,",,,,,,,,1,,4,,2,3,,,,,4,,,,1,,,,,,,,3,2,,,,,1,,,4,,2,,3,,,,,,4,,2,,3,,,,,,,,,,,1,1
541,",,,",", ,,",",,,",",,,",4,,3,,,,,2,,,,,,1,,,,1,,,,3,,,,2,,4,,,,,,,,2,,,4,,1,,,,3,,,,,,,,2,,,,,,3,,,,4,1,1
542,",,,",",, ,",",,,",",,,",2,,,,,,,1,,,,,,,4,3,,,1,,,2,4,,,3,,,,,,,,,,2,3,,,,4,,,,1,,,,,4,,,,,,,,,1,3,,2,,,1
543,",,,",",,,",",,,",",, ,",,,3,,1,,,,4,,,,,,2,,1,,,,,2,,4,,,,,3,,,,,,,,,,,,,,2,1,,4,,3,,1,,2,,,4,,,3,,,,,,,1
544,",, ,",",,,",",,,",",,,",,,,,2,,,,,3,,,,,4,1,,,1,,,,,,3,,2,,,4,,,,,,3,,,2,1,,,,,4,,,,4,2,,,,3,,,,,,1,,,,,1
545,",,,",",,,",",,,",",,, ",,2,,,,3,4,,,,,1,,,,,1,,3,,2,,,,,,,,,,,4,,,,4,,,,1,,,,,,3,2,,,,,,,,,,2,4,1,,3,,,,1
546,",,,",",,,",",, ,",",,,",,,,4,,,,,1,,3,,2,,,,,,,,4,,,1,,,,,,,2,3,4,,,,,,2,,,3,,1,,,,,,4,3,,,2,,,,,,,,1,,,1
547,",,, ",",,,",",,,",",,,",,,3,,,1,,,,4,,,,2,,,,2,,,1,,3,,,,,4,,,,,,,,2,,,,1,3,,,,4,,,,3,,,,,,,,,,2,,,,4,1,1
548,",,,",",,, ",",,,",",,,",,1,,,,,3,,,,,,,2,,4,,,3,,,,,,,4,,,1,,2,,3,,,,,2,,,,,1,4,,,,,,,,4,1,,,3,2,,,,,,,,1
549,",,,",",,,",",,, ",",,,",,,,,,,,3,4,,,1,2,,,,,4,,,3,,,,,,1,,,,,2,2,,,,,3,,,,4,,,,,1,,,,1,4,,,3,,,,,,,2,,,1
550,",,,",",,,",",,,",",,, ",,,,1,,,4,3,,,,,2,,,,3,,,,4,,,,,,2,,,,1,,,,2,,,,,,4,,,1,,,,3,,2,,,,3,,,,4,,,,1,,,1
551,", ,,",",,,",",,,",",,,",,1,,,,3,,,,2,,,,4,,,,,3,,,,,2,,,,4,,,1,,1,,,,4,,,,,,2,,,,,3,,,,1,,,4,,2,,,,3,,,,1
552,",,,",",,,",",,,",",, ,",,2,4,,,,3,1,,,,,,,,,,,,3,,,,,4,,,1,2,,,,1,,,,3,,,,,,2,,,,,4,,,,,,1,,,,3,,,,2,4,,1
553,",,,",",,,",",,,",",,, ",,3,,,,1,,,,,,4,,2,,,,,,,1,,,,,,2,,,,3,4,,,,3,,,4,,1,,,,2,,,,1,,3,,,,,2,,4,,,,,,,1
554,",,,",", ,,",",,,",",,,",,3,4,,,1,,,,,,,,2,,,,,,,,,,3,,2,,1,,,,4,4,,,,2,,,,,,3,,,,1,,,,,2,,,3,,4,,,,1,,,,1
555,",,,",",,,",",, ,",",,,",1,,,,4,,,,,,,,,,3,2,,,,1,,,,2,4,,,,3,,,,,,4,,,1,,,,3,,,,2,,,,4,,,,,2,,,,1,3,,,,,1
700,",,,"," ,,,",",,,",",,,",,,,1,,,3,2,4,,,,,,,,,4,,,,3,,,,1,,2,,,,,,,4,,1,,,,,,3,,,,,2,1,,,,,,,,,,,,3,4,2,,1
701,",,,",",,,"," ,,,",",,,",,,,1,,,,4,3,,,,2,,,,2,,4,,,3,,,,,,,,,1,,,3,,,,,,,,1,,2,,4,,,,,,,2,,3,,,,4,,,,,1,1
702,",,,",",,,",", ,,",",,,",,,,,2,,,,,,3,,,,4,1,,,,3,,,,,2,,,4,1,,,,,4,,,,1,,,,2,,,,3,,,2,,4,,,,1,3,,,,,,,,,1
703,",,, ",",,,",",,,",",,,",,,2,,,,,,,4,,,3,1,,,3,,,,2,,,,,,4,,,,,1,,2,,,,4,,,,,,3,,,1,,,,,1,,,4,3,2,,,,,,,,1
704,",,,"," ,,,",",,,",",,,",,,,4,,,1,,2,,,,3,,,,,2,,,,4,,,,1,,,,3,,,3,,2,,,,,4,,,,1,,,,,,,,,3,,,,,,4,,,,2,1,1
705,",,,"," ,,,",",,,",",,,",,,,,4,,,,,,2,,,,3,1,,4,,,,3,,,,1,,,,2,,,,,,4,,,,3,1,,,,2,,,,3,,1,,,,4,,,,,2,,,,,1
706,",,,",",,,",",,,",",, ,",,,,,1,,,,,,2,4,,,,3,,,3,,,2,,,,,,,,1,4,,,,,4,,,,2,3,,,,1,,,,2,4,,,,,1,,,3,,,,,,,1
707,",,,"," ,,,",",,,",",,,",,,4,,,,,3,,,2,,,,,1,,4,,,,2,,,,1,,,,3,,,,,,3,,,4,,1,,,,2,,,,1,,,,3,,,,,,,4,,,2,,1
708,",,,",", ,,",",,,",",,,",,,,,1,,,,,,3,,,,4,2,,,,,,,,,4,2,,3,1,,,,,1,4,,,3,,,,,,,,2,,,1,,,4,,,2,3,,,,,,,,,1
709,",,,",",, ,",",,,",",,,",1,,3,,,,,2,,,,,,4,,,,4,,,2,,,,,3,,,,,1,,,,,1,,3,,,4,,,,2,,,,,,,,,,4,,,,2,3,,,,1,1
710,",,,",",,,",",,, ",",,,",,,,,,,1,4,2,,,,3,,,,1,,,2,3,,,,,,,,,,4,,,,3,,,,,,,4,1,,,,,2,,3,,,,4,,,,,,2,,1,,,1
711,",,,",",,,"," ,,,",",,,",,,,4,,,1,,2,,,,3,,,,3,,,,,,,4,,,,2,,,1,,,4,,,,3,,,,1,,,,2,,,,,4,,2,,,,,,3,,,,,1,1
712,",,,",",,,",", ,,",",,,",2,,,,3,,,,,,1,,,,,4,,1,,,,2,,,,,,,,3,4,,,,3,,,,4,,,2,,1,,,,,,,,3,,,,1,2,,,,4,,,,1
713,",,,",",,,",",,, ",",,,",,,,,1,,,,,,4,,,,3,2,2,,3,,,,,1,,,,,,4,,,,2,,,,1,,,,4,,3,,,,,,,,3,,,4,,1,,,,2,,,,1
714,",,,",",,,",",,,",", ,,",,4,,,2,,,,,,,,,,3,1,,,,2,,,,1,3,,,,4,,,,,,1,,,,3,,,,4,,,2,,,3,,,,,4,,,,2,,1,,,,,1
715,",, ,",",,,",",,,",",,,",,1,,,,,,4,,3,,2,,,,,,,,,,3,,,1,,,,2,4,,,,,4,1,,,2,,,,,,,,3,,3,,,,1,,,,,,2,,,,,4,1
716,",,,",",,,",",,, ",",,,",,,,2,,,,,1,,,,3,,4,,3,,2,,,,4,,,,1,,,,,,,3,,,,1,,,,4,,,,2,,,,,,,2,,,3,,,,1,,,,4,1
717,",,,",",,,",",,,"," ,,,",,,,,,4,,,3,,,1,2,,,,,,4,,2,,,,,,1,,,,,3,1,,,3,,,4,,,,,,,,2,,,3,,,,,,2,,1,,,,4,,,1
718,",,,",",,,"," ,,,",",,,",,,,,,1,,,2,,,3,4,,,,3,,,,2,,,,,,1,,,,,4,,3,4,,,,,,,1,,,,2,,,,,,1,,,3,2,,,,,,,4,,1
719,",,,",",, ,",",,,",",,,",,,3,,,,,4,1,,,,2,,,,1,,,,,,,,,3,,,,4,2,,,,,3,2,,,,,,1,,,,,4,,4,,,,2,1,,,,,3,,,,,1
720,",,,",",,,",",, ,",",,,",,,,,1,,,,,,3,,,,2,4,,,4,1,,,,3,,,,,2,,,,,1,,,,2,,,,3,,4,,,,,1,,,,,,2,,4,,,,,3,,,1
721,",,,",",, ,",",,,",",,,",,,,1,,,,4,3,,,,2,,,,,4,,,,1,,,,3,,,,2,,,,,3,,,,4,,,,,1,,,2,,4,,,,2,,,,,,3,,,,,1,1
722," ,,,",",,,",",,,",",,,",,,3,,,4,,,,1,,,,2,,,,,,,1,,,,,,2,3,,,,4,,,,2,,,4,,3,,,,1,,,,2,4,,,,,,3,,,,,,,1,,1
900,",,,",",,,",",,,",",, ,",,2,3,,,,,1,,,,4,,,,,,,,,,,4,,2,,,,1,,3,,,,,4,1,,,,,,2,,,,,3,4,,,,,2,,,,3,,,,1,,,1
901,",,,",",,,",",,,"," ,,,",,,,,,,1,,,,3,,,,4,2,4,,2,,3,,,1,,,,,,,,,,,,4,,3,,,2,,,,1,,,,,4,,,,,,,,1,,3,,2,,,1
902,",,,",",,,",",,,",",,, ",,,4,,1,,,,,,,,,,3,2,1,,,,,,2,,,,3,4,,,,,,,,2,,,,3,4,,,,1,,,,,3,,,,1,,,,4,,,,2,,,1
903,",,,",",, ,",",,,",",,,",1,,4,,,,,3,,,,,,2,,,,4,,2,,,1,,,3,,,,,,,,,,,1,,,,,,4,,,,3,2,,,,,,3,,,2,,,1,4,,,,1
904,",,,",",,,",",, ,",",,,",,,,,,1,,3,,,,,2,,4,,,,,2,4,,,,1,,3,,,,,,4,1,,,,,,,,3,,,,2,,,,,4,,,,1,,,,,3,,,,2,1
905,",,,",", ,,",",,,",",,,",4,,,,2,,,,,,1,,,,,3,,4,1,,,,,,,2,,3,,,,,,,,1,,,,4,3,,,,2,,,,,,,,,4,1,,,,,,,3,2,,1
906,",,,",",,, ",",,,",",,,",,,,,,,3,4,2,,,1,,,,,,1,,,,2,,,,4,,,3,,,,1,,,2,4,,,,,,,,,,3,,,,2,,,,,,,,3,,,4,,1,1
907,",,,",",,, ",",,,",",,,",,,1,,,,,4,2,,3,,,,,,,,,1,,,,,,4,,2,,3,,,,4,,,3,,,,,,,,2,,,1,2,,,,,3,1,,,,,,,,4,,1
908,", ,,",",,,",",,,",",,,",,3,,,,1,,,,2,,4,,,,,,,4,,3,,,,,,1,,,,,2,1,,,,,,3,4,,,,,,,2,,,,,3,,,,,2,,,,1,4,,,1
909,",,,",", ,,",",,,",",,,",,,,,,,,,,,1,,3,,4,2,,4,,,,,,,3,2,,1,,,,,4,,,1,2,,,3,,,,,,,,,,,3,,,4,2,,,,,,,1,,,1
910,",,,",",,,",",,,",", ,,",,,,1,,,4,2,3,,,,,,,,,3,,,,1,,,,,,4,2,,,,,,3,,2,,,,,,,,,,1,4,3,,,,,,,,,2,4,,,1,,,1
911,",,,"," ,,,",",,,",",,,",,,,,,3,,,1,,,4,2,,,,,4,3,,,,,,,1,,,,,,2,,,,2,4,,1,,,,3,,,,,,1,,,,,,,3,,,,,,4,2,,1
912,",,, ",",,,",",,,",",,,",,2,,,,,,3,,4,,,,1,,,,,,4,,,3,,2,,,,1,,,,,,,,4,,,,,,1,,,,2,3,3,,1,,,2,,,,,,4,,,,,1
913,",,,",",,,",",,,",",, ,",,4,2,,,,,,,,1,,3,,,,,,,,4,,,1,,,,,,2,,3,4,,,2,,,3,,1,,,,,,,,,,,,,2,,,,3,,4,,,1,,1
914,",,,",",,,"," ,,,",",,,",,,,3,,,,4,1,,,,2,,,,2,,,,,,1,,,,,,,4,3,,,2,3,,,4,,,,1,,,,,,,,,,,1,,,,,,2,3,,,,4,1
915,",, ,",",,,",",,,",",,,",,1,,,,,,,,3,,,2,,4,,,,,,2,,,,,,3,4,,,,1,,,,1,,,,2,4,,,,,3,,,3,,1,,,4,2,,,,,,,,,,1
916,",,, ",",,,",",,,",",,,",,3,,,,1,,,,4,,,,2,,,,,,2,,,,1,4,,,,3,,,,,,,,3,,4,,,,1,,,,,2,3,,2,,,,,,,,,4,,,1,,1
1001,",,,",", ,,",",,,",",,,",,,,,2,,,,,,,,4,,1,3,,,3,,,,,,,2,4,,,1,,,3,4,,,,2,,1,,,,,,,,,,,,2,,,4,,1,,,3,,,,,1
1002,",,,",",,,",",,,"," ,,,",,,,,3,1,,,,,,,,2,,4,,,,1,,,2,3,,,4,,,,,,3,4,,,,,,,1,,,,2,,,,,,4,,,,,,,1,,3,,,2,,1
1003,",,,",",,,",",,,",",, ,",,,,,,3,,,2,,,1,,4,,,,,3,1,,,2,,,,,,,,4,,3,,,,2,,,,,,1,,,,,4,,4,,,,,,2,,3,,,1,,,,1
1004,",,,",",, ,",",,,",",,,",,,,4,,3,,2,,,,,1,,,,2,1,,,,,,,,3,,,,4,,,,,3,,,,2,,1,,,4,,,,,,,,,1,,,,,,4,,,,2,3,1
1005,",,,",",,, ",",,,",",,,",1,,,,2,,,4,,,,,,,3,,,,,,,,,,,4,2,,3,,,1,,4,,,,2,,,,,,3,,1,,,,,4,3,,,1,,2,,,,,,,,1
1006,",,,",",,,",",,, ",",,,",,,4,,,,3,,,,1,,,,,2,,,,2,4,,,1,,,,,,3,,,2,,,,,,,,,4,,,3,,1,,,4,,,,1,,,2,,,3,,,,,1
1007,",,, ",",,,",",,,",",,,",,2,,,,3,,,,4,,,,1,,,3,,1,,,,2,,,,,4,,,,,,,,3,,,,4,1,,,,2,,,,,,,,2,,,,,,1,,,,3,4,1
1009,",,,",",,,",",,,"," ,,,",,,3,1,,4,,,,,,2,,,,,,,,,4,,,1,,,,,2,,,3,2,,,,,,4,,,,1,,,,3,,,2,,,,,,,3,1,,,,4,,,1
1010,",,,",",,,",",,,"," ,,,",4,,,,,,,2,,,3,,,,,1,,,4,,,,3,,,,,1,,,2,,,,,1,4,,,,3,,,,2,,,,,2,,,,3,,,,1,,,,4,,,1
1011,",,,",",,,",",,, ",",,,",,,3,1,,,,2,4,,,,,,,,,4,,,,,2,,,,,,1,,3,,3,,,,1,,,,,4,,,,,,2,,,,,,3,,,,,4,1,,2,,,1
1012,",,, ",",,,",",,,",",,,",,3,,,,,,2,,4,,,,1,,,4,,1,,,,,,,,,3,,,2,,,,,3,,2,,,4,,,,1,,,,,,,,3,,2,,,,4,,,,,1,1
1013,",,,",",,,",",,,"," ,,,",4,,,,1,,,,,,,,,,3,2,,,2,,,,3,,,,1,4,,,,,,,,3,,4,,,2,,,,1,,,,,4,,,,,,2,,1,,,,3,,,1
1014,",,,",",,,",",,, ",",,,",,,,,1,,,,4,,2,,,,,3,,,,,,1,,,,,,,4,2,3,,,,1,,,,,3,,4,,2,,,,,3,2,,1,,,4,,,,,,,,,,1
1015,",,,",",, ,",",,,",",,,",,1,,,,,,4,2,,,,3,,,,,,,,1,,,,,3,,,,,2,4,2,,,3,,,4,,,,1,,,,,,,,1,,,4,,,,,,3,,2,,,1
1016,",,,",",,,",",,,",",,, ",,,,,4,2,,,,,,,3,1,,,,3,4,,,,,,1,,,2,,,,,,,,1,,,4,3,,,2,,,,,,1,,,,,,,,,4,,,,,3,2,1
1017,",,,",",,,",",,,",",,, ",,2,,,4,,,,,,,,3,,1,,,,,1,,3,,,2,,,,,,,4,,,1,,,,3,4,,,,2,,,,,1,,,,,,,,,4,2,,,3,,,1
1018,",,,",",,,",",,, ",",,,",,,1,2,,,,,3,,,,4,,,,,,,,4,2,,3,,,1,,,,,,,2,,,,,3,,,4,,,,,1,,1,,,,,,,,,,,3,,2,,4,1
1019,",,,",",,, ",",,,",",,,",,2,,,,1,4,,,,,,,3,,,3,,1,,,,,,,4,,2,,,,,,,,,3,,,,,,1,,,,4,2,,,,3,,,,4,2,,,,1,,,,1
1020,",,,"," ,,,",",,,",",,,",,,,1,,,,3,4,,,,2,,,,,,,,,2,3,,,1,,4,,,,,1,2,4,,,,,,,,,,,3,,,,,,,4,,,,,,1,,,,3,2,1
1021,",,,",",,,",",,, ",",,,",,,4,,2,,3,,,,,,,,,1,,,,4,,3,,,1,,,,2,,,,,,,,,,,2,,4,,,,3,1,,3,4,,,,,,,,,1,2,,,,,1
1022,",,,",",,,",",,, ",",,,",,2,,,,3,,,,,,,4,1,,,,,,,2,,,4,,,,,,,1,3,3,,1,,,,,,,4,2,,,,,,,,,3,,,2,,4,,,1,,,,,1
