Participant Number,Semester Run,Source,Paid,Doubler,BLUE,YELLOW
988,Spring,Musician,No,SINGLER,NO,YES
1001,Fall,Sona,No,SINGLER,NO,NO
1002,Fall,Sona,No,SINGLER,NO,NO
1003,Fall,Sona,No,SINGLER,NO,NO
1004,Fall,Sona,No,SINGLER,NO,NO
1005,Fall,Sona,No,SINGLER,NO,NO
1006,Fall,Sona,No,SINGLER,NO,NO
1007,Fall,Sona,No,SINGLER,NO,NO
1008,Fall,Sona,No,SINGLER,NO,NO
1009,Fall,Sona,No,SINGLER,NO,NO
1010,Fall,Sona,No,SINGLER,NO,NO
1011,Fall,Sona,No,SINGLER,NO,NO
1012,Fall,Sona,No,SINGLER,NO,NO
1013,Fall,Sona,No,SINGLER,NO,NO
1014,Fall,Sona,No,SINGLER,NO,NO
1015,Fall,Sona,No,SINGLER,NO,NO
1016,Fall,Sona,No,SINGLER,NO,NO
1017,Fall,Sona,No,SINGLER,NO,NO
1018,Fall,Sona,No,SINGLER,NO,NO
1019,Fall,Sona,No,SINGLER,NO,NO
1020,Fall,Sona,No,SINGLER,NO,NO
1021,Fall,Sona,No,SINGLER,NO,NO
1022,Fall,Sona,No,SINGLER,NO,NO
1023,Spring,Sona,No,SINGLER,NO,NO
1024,Spring,Sona,No,SINGLER,NO,NO
1025,Spring,Sona,No,SINGLER,NO,NO
1026,Spring,Sona,No,SINGLER,NO,NO
1027,Spring,Sona,No,SINGLER,NO,NO
1028,Spring,Sona,No,SINGLER,NO,NO
1029,Spring,Sona,No,SINGLER,NO,NO
1030,Spring,Sona,No,SINGLER,NO,NO
1031,Spring,Sona,No,SINGLER,NO,NO
1032,Spring,Sona,No,SINGLER,NO,NO
1033,Spring,Sona,No,SINGLER,NO,NO
1034,Spring,Sona,No,SINGLER,NO,NO
1035,Spring,Sona,No,SINGLER,NO,NO
1036,Spring,Sona,No,SINGLER,NO,NO
1037,Spring,Sona,No,SINGLER,NO,NO
1038,Spring,Sona,No,SINGLER,NO,NO
1039,Spring,Sona,No,SINGLER,NO,NO
1040,Spring,Sona,No,SINGLER,NO,NO
1041,Spring,Sona,No,SINGLER,NO,NO
1042,Spring,Sona,No,SINGLER,NO,NO
1043,Spring,Sona,No,SINGLER,NO,NO
1044,Spring,Sona,No,SINGLER,NO,NO
1045,Spring,Sona,No,SINGLER,NO,NO
1046,Spring,Sona,No,SINGLER,NO,NO
1047,Spring,Sona,No,SINGLER,NO,NO
1048,Spring,Sona,No,SINGLER,NO,NO
1049,Spring,Sona,No,SINGLER,NO,NO
1050,Spring,Sona,No,SINGLER,NO,NO
1051,Spring,Sona,No,SINGLER,NO,NO
1052,Spring,Sona,No,SINGLER,NO,NO
1053,Spring,Sona,No,SINGLER,NO,NO
1054,Spring,Sona,No,SINGLER,NO,NO
1055,Spring,Sona,No,SINGLER,NO,NO
1056,Spring,Sona,No,SINGLER,NO,NO
1057,Spring,Sona,No,SINGLER,NO,NO
1058,Spring,Sona,No,SINGLER,NO,NO
1300,Spring,Musician,Yes,SINGLER,NO,NO
1301,Spring,Musician,Yes,SINGLER,NO,NO
1302,Spring,Musician,No,DOUBLER,NO,NO
1303,Spring,Sona ,No,SINGLER,YES,NO
1304,Spring,Musician,Yes,SINGLER,NO,NO
1305,Spring,Musician,No,SINGLER,NO,NO
1306,Spring,Musician,Yes,SINGLER,NO,NO
1307,Spring,Musician,Yes,SINGLER,NO,NO
1308,Spring,Musician,Yes,SINGLER,NO,NO
1309,Spring,Musician,Yes,SINGLER,NO,NO
1310,Spring,Musician,Yes,SINGLER,NO,NO
1311,Spring,Musician,Yes,SINGLER,NO,NO
1312,Spring,Musician,Yes,SINGLER,NO,NO
