"","subjectNo","symErrorTotal","symAccErrorTotal","symSpeedErorTotal","symSspanscore","symSspanTotal","symSspanPartialScore","symSspanPartialScoreBlock1","symSspanPartialScoreBlock2","symSspanPartialScoreBlock3","symSspanAbsoluteScore","symSymmetryCorrect"
"160",731,1,0,1,NA,NA,24,7,8,9,14,46
"161",732,2,1,1,NA,NA,36,10,14,12,32,46
"162",733,5,5,0,NA,NA,36,12,13,11,23,42
"163",734,18,15,3,NA,NA,5,2,1,2,2,27
"164",735,4,1,3,NA,NA,13,6,1,6,2,44
"165",736,5,4,1,NA,NA,38,14,13,11,34,43
"166",737,3,3,0,NA,NA,9,3,4,2,0,44
"167",738,3,3,0,NA,NA,23,9,6,8,6,45
"168",739,1,0,1,NA,NA,35,9,13,13,25,46
"169",740,2,1,1,NA,NA,39,14,14,11,37,46
"170",741,4,4,0,NA,NA,34,12,13,9,26,44
"171",742,2,1,1,NA,NA,37,11,13,13,27,45
"172",900,2,2,0,NA,NA,37,12,12,13,23,45
"173",901,5,1,4,NA,NA,26,8,8,10,16,42
"174",902,4,4,0,NA,NA,27,8,8,11,15,43
"175",903,1,0,1,NA,NA,31,6,12,13,25,46
"176",904,4,3,1,NA,NA,29,9,11,9,17,42
"177",905,3,2,1,NA,NA,24,8,8,8,14,45
"178",906,1,1,0,NA,NA,31,8,10,13,20,46
"179",907,0,0,0,NA,NA,40,14,12,14,38,48
"180",908,1,0,1,NA,NA,27,10,12,5,20,47
"181",909,7,5,2,NA,NA,27,6,12,9,19,40
"182",910,3,3,0,NA,NA,23,7,9,7,11,44
"183",911,0,0,0,NA,NA,15,4,5,6,2,47
"184",912,3,1,2,NA,NA,8,2,2,4,0,45
"185",913,1,1,0,NA,NA,16,7,3,6,4,47
"186",914,5,2,3,NA,NA,22,8,5,9,7,42
"187",915,2,2,0,NA,NA,25,8,8,9,7,46
"188",916,1,1,0,NA,NA,15,3,5,7,4,45
"189",917,3,3,0,NA,NA,37,14,12,11,29,45
"190",918,5,4,1,NA,NA,17,10,3,4,9,39
"191",919,4,3,1,NA,NA,9,4,4,1,4,43
"192",920,1,1,0,NA,NA,33,10,11,12,29,47
"193",921,1,1,0,NA,NA,24,10,8,6,16,47
"194",922,1,1,0,NA,NA,20,8,6,6,12,46
"195",923,12,12,0,NA,NA,25,10,9,6,12,35
"196",924,0,0,0,NA,NA,34,12,12,10,19,47
"197",925,3,3,0,NA,NA,20,6,10,4,7,45
"198",926,2,0,2,NA,NA,34,10,10,14,19,45
"199",927,11,8,3,NA,NA,16,6,5,5,10,35
"200",928,2,2,0,NA,NA,28,10,9,9,13,45
"201",929,4,3,1,NA,NA,20,6,6,8,12,42
"202",930,7,7,0,NA,NA,30,9,13,8,24,39
"203",931,2,2,0,NA,NA,25,9,9,7,15,45
"204",932,5,4,1,NA,NA,26,7,7,12,8,43
"205",933,8,8,0,NA,NA,26,8,8,10,18,39
"206",934,0,0,0,NA,NA,4,2,1,1,0,46
"207",935,4,2,2,NA,NA,26,7,9,10,13,43
"208",936,3,3,0,NA,NA,13,7,3,3,7,45
"209",937,1,0,1,NA,NA,33,10,13,10,20,47
"210",938,1,1,0,NA,NA,18,6,7,5,8,47
"211",939,1,1,0,NA,NA,33,9,12,12,15,43
"212",940,2,0,2,NA,NA,17,7,5,5,6,46
"213",941,2,2,0,NA,NA,12,4,4,4,5,45
"214",942,3,3,0,NA,NA,26,11,8,7,16,45
"215",943,3,3,0,NA,NA,15,10,4,1,6,39
"216",945,7,6,1,NA,NA,17,9,5,3,8,41
"217",946,1,1,0,NA,NA,31,11,10,10,12,47
"218",947,5,5,0,NA,NA,31,11,10,10,23,39
"219",948,13,9,4,NA,NA,28,8,9,11,11,34
"220",949,4,3,1,NA,NA,25,7,9,9,12,44
"221",950,10,10,0,NA,NA,2,0,1,1,0,37
"222",951,2,2,0,NA,NA,21,8,6,7,15,44
"223",952,4,2,2,NA,NA,34,11,11,12,24,42
"224",953,3,3,0,NA,NA,23,5,8,10,12,45
"225",954,3,2,1,NA,NA,20,10,5,5,7,44
"226",955,2,1,1,NA,NA,21,8,7,6,9,46
"227",956,9,8,1,NA,NA,25,8,10,7,14,38
"228",957,2,2,0,NA,NA,40,14,14,12,37,46
"229",958,4,4,0,NA,NA,20,9,6,5,12,44
"230",959,4,4,0,NA,NA,27,8,9,10,13,43
"231",960,12,10,2,NA,NA,14,7,2,5,7,34
"232",961,20,7,13,NA,NA,15,6,5,4,11,25
"233",962,21,20,1,NA,NA,14,3,6,5,9,25
"234",963,2,1,1,NA,NA,36,12,10,14,30,46
"235",964,12,12,0,NA,NA,10,3,4,3,2,35
"236",965,1,1,0,NA,NA,31,11,11,9,23,47
"237",966,5,3,2,NA,NA,40,12,14,14,37,43
"238",967,7,7,0,NA,NA,31,12,10,9,16,41
"239",968,3,3,0,NA,NA,30,7,11,12,20,41
"240",969,0,0,0,NA,NA,27,8,9,10,13,47
"241",970,17,17,0,NA,NA,35,11,10,14,28,31
"242",971,4,4,0,NA,NA,32,14,9,9,25,42
"243",972,2,1,1,NA,NA,34,13,11,10,29,46
"244",973,4,4,0,NA,NA,20,6,6,8,13,44
"245",974,8,6,2,NA,NA,4,3,1,0,2,39
"246",975,4,2,2,NA,NA,15,6,6,3,5,44
"247",977,3,2,1,NA,NA,41,14,14,13,37,45
"248",978,3,3,0,NA,NA,25,10,6,9,16,45
"249",979,5,4,1,NA,NA,10,4,3,3,2,41
"250",980,1,1,0,NA,NA,29,8,9,12,16,47
"251",981,0,0,0,NA,NA,30,13,9,8,20,48
"252",982,6,3,3,NA,NA,22,10,7,5,11,42
"253",983,1,0,1,NA,NA,26,9,9,8,14,45
"254",984,4,3,1,NA,NA,25,7,6,12,14,43
"255",985,6,3,3,NA,NA,17,6,6,5,7,41
"256",986,3,2,1,NA,NA,8,0,5,3,2,42
"257",987,3,3,0,NA,NA,39,13,13,13,28,44
"258",988,1,1,0,NA,NA,30,10,9,11,20,47
