subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal,NumberAttempted,NumberTotalScore,NumberTotalTime,,,RavensBlock1,RavensBlock2,RavensBlock3,Ravens Block4,,BeatPerception,,MelodicMemory
956,3,7,10,31,10,9,12,4,7,7,42,56,18,16,22,0,8,1,14,25,8,10,7,9,15,12,5,956,956,8,9,7,24,956,13,956,9
957,3,3,16,45,12,20,13,0,1,2,48,65,21,23,21,1,2,0,37,40,14,14,12,2,15,12,4,957,957,11,8,9,28,957,12,957,9
958,5,7,18,29,10,7,12,2,1,3,29,47,15,15,17,2,4,0,12,20,9,6,5,4,11,8,5,958,958,10,9,8,27,958,13,958,11
959,3,5,39,62,16,23,23,2,2,12,6,42,13,15,14,10,4,0,13,27,8,9,10,4,15,8,4,959,959,7,6,7,20,959,13,959,6
960,1,1,27,51,17,20,14,0,5,6,20,45,16,12,17,1,10,2,7,14,7,2,5,12,15,10,5,960,960,8,5,8,21,960,13,960,10
961,5,6,0,23,8,7,8,1,1,1,0,2,0,1,1,0,7,13,11,15,6,5,4,20,15,5,1,961,961,0,0,1,1,961,9,961,6
962,1,2,12,30,13,12,5,1,2,7,32,56,20,21,15,5,20,1,9,14,3,6,5,21,14,6,5,962,962,8,8,8,24,962,9,962,9
963,3,4,32,59,21,20,18,1,0,0,61,71,25,23,23,0,1,1,30,36,12,10,14,2,15,13,5,963,963,7,8,5,20,963,15,963,11
964,4,5,31,52,18,14,20,1,1,2,68,72,22,25,25,1,12,0,2,10,3,4,3,12,12,7,5,964,964,6,7,7,20,964,12,964,10
965,3,4,0,34,9,13,12,1,2,6,26,50,15,15,20,4,1,0,23,31,11,11,9,1,12,7,5,965,965,10,9,5,24,965,10,965,8
966,1,1,40,56,17,22,17,0,7,7,63,72,25,24,23,0,3,2,37,40,12,14,14,5,12,11,5,966,966,10,8,12,30,966,12,966,12
967,10,10,16,37,12,15,10,0,4,4,14,27,5,13,9,0,7,0,16,31,12,10,9,7,15,5,3,967,967,5,6,4,15,967,9,967,9
968,8,10,25,47,17,14,16,2,11,19,19,45,13,17,15,8,3,0,20,30,7,11,12,3,15,12,5,968,968,8,9,7,24,968,13,968,7
969,4,5,42,57,19,16,22,1,7,8,12,39,14,11,14,1,0,0,13,27,8,9,10,0,10,7,5,969,969,8,8,8,24,969,12,969,9
970,35,36,19,36,11,14,11,1,25,29,48,56,25,21,10,4,17,0,28,35,11,10,14,17,15,6,2,970,970,2,4,2,8,970,9,970,7
971,9,11,25,52,12,20,20,2,9,10,61,66,20,21,25,1,4,0,25,32,14,9,9,4,15,7,5,971,971,8,3,3,14,971,11,971,10
972,0,2,18,50,14,17,19,2,5,8,18,44,14,18,12,3,1,1,29,34,13,11,10,2,10,8,5,972,972,10,9,7,26,972,12,972,8
973,5,8,32,64,23,20,21,3,8,10,42,59,18,20,21,2,4,0,13,20,6,6,8,4,15,10,4,973,973,9,5,7,21,973,9,973,4
974,5,6,40,55,21,16,18,1,4,4,3,14,3,8,3,0,6,2,2,4,3,1,0,8,15,8,3,974,974,7,9,7,23,974,13,974,7
975,5,5,30,61,22,17,22,0,7,7,54,71,24,23,24,0,2,2,5,15,6,6,3,4,15,10,5,975,975,7,8,7,22,975,13,975,9
976,6,10,0,34,14,7,13,4,7,10,18,38,13,16,9,3,5,1,9,19,7,3,9,6,15,2,2,976,976,6,6,5,17,976,12,976,10
977,2,2,51,68,21,22,25,0,0,0,63,71,23,23,25,0,2,1,37,41,14,14,13,3,10,8,5,977,977,10,9,9,28,977,11,977,10
978,2,2,23,52,14,17,21,0,1,1,30,57,20,14,23,0,3,0,16,25,10,6,9,3,15,12,5,978,978,9,8,7,24,978,10,978,5
979,3,5,20,42,13,15,14,2,5,7,0,8,5,1,2,2,4,1,2,10,4,3,3,5,14,8,5,979,979,8,7,8,23,979,11,979,6
980,3,3,0,0,0,0,0,0,6,9,23,29,18,11,0,3,1,0,16,29,8,9,12,1,15,13,5,980,980,12,10,8,30,980,7,980,10
981,3,6,15,49,18,19,12,3,1,9,37,58,21,16,21,8,0,0,20,30,13,9,8,0,13,11,5,981,981,8,8,8,24,981,9,981,6
982,2,5,42,66,22,21,23,3,1,1,75,75,25,25,25,0,3,3,11,22,10,7,5,6,15,10,5,982,982,10,9,10,29,982,12,982,9
983,1,2,32,57,20,15,22,1,5,12,7,30,12,13,5,7,0,1,14,26,9,9,8,1,15,5,3,983,983,9,9,6,24,983,8,983,9
984,4,4,36,54,14,15,25,0,4,7,41,62,15,23,24,3,3,1,14,25,7,6,12,4,11,5,5,984,984,7,9,6,22,984,12,984,8
985,2,5,9,41,11,15,15,3,5,6,61,69,21,25,23,1,3,3,7,17,6,6,5,6,15,8,5,985,985,8,6,6,20,985,9,985,8
986,2,2,7,25,11,8,6,0,4,4,3,18,8,6,4,0,2,1,2,8,0,5,3,3,12,6,5,986,986,7,6,6,19,986,13,986,6
987,4,4,6,33,10,10,13,0,5,9,12,26,13,1,12,4,3,0,28,39,13,13,13,3,15,8,5,987,987,10,7,11,28,987,13,987,9
988,5,7,32,50,17,14,19,2,3,4,56,68,20,23,25,1,1,0,20,30,10,9,11,1,15,10,5,988,988,8,7,7,22,988,14,988,8
1001,4,5,32,47,13,17,17,1,3,5,27,43,15,12,16,2,1,0,30,37,14,10,13,1,11,7,5,1001,1001,8,9,11,28,1001,11,1001,6
1002,3,4,51,64,25,19,20,1,2,5,47,58,21,24,13,3,4,0,23,36,12,12,12,4,15,11,5,1002,1002,6,9,9,24,1002,9,1002,4
1003,1,4,26,60,21,19,20,3,1,3,56,67,22,25,20,2,0,0,22,32,12,7,13,0,14,11,5,1003,1003,9,10,11,30,1003,12,1003,7
1004,1,1,61,73,24,24,25,0,1,5,62,70,23,22,25,4,0,1,28,37,13,12,12,1,13,8,5,1004,1004,9,12,9,30,1004,11,1004,6
1005,4,4,25,50,13,16,21,0,2,2,30,57,18,16,23,0,0,0,29,36,12,10,14,0,12,10,5,1005,1005,11,6,10,27,1005,15,1005,8
1006,6,8,50,65,22,20,23,2,2,3,61,71,23,25,23,1,1,6,9,28,10,8,10,7,13,10,5,1006,1006,9,9,8,26,1006,12,1006,7
1007,5,5,3,7,1,3,3,0,8,15,12,15,14,1,0,7,4,0,22,26,11,6,9,4,15,12,5,1007,1007,6,6,8,20,1007,16,1007,10
1008,4,5,65,71,23,25,23,1,2,2,59,70,24,25,21,0,1,0,28,34,13,12,9,1,14,8,5,1008,1008,9,9,6,24,1008,11,1008,9
1009,6,6,8,30,9,8,13,0,3,5,38,56,21,16,19,2,4,0,17,25,8,11,6,4,14,12,5,1009,1009,9,6,8,23,1009,13,1009,6
1010,4,5,49,65,19,23,23,1,3,3,75,75,25,25,25,0,0,1,37,41,13,14,14,1,15,13,5,1010,1010,11,9,10,30,1010,15,1010,5
1011,4,4,3,34,11,14,9,0,5,6,24,41,16,17,8,1,2,0,17,26,13,7,6,2,15,9,5,1011,1011,10,9,10,29,1011,12,1011,7
1012,4,5,21,59,20,19,20,1,7,9,32,53,18,12,23,2,1,0,12,24,10,6,8,1,15,8,5,1012,1012,11,9,7,27,1012,15,1012,10
1013,5,7,37,62,20,23,19,2,2,2,56,67,21,25,21,0,3,0,37,38,14,14,10,3,12,9,5,1013,1013,10,9,8,27,1013,9,1013,7
1014,1,5,16,38,11,11,16,4,5,5,46,65,20,24,21,0,3,0,7,21,6,6,9,3,15,11,5,1014,1014,8,8,7,23,1014,7,1014,8
1015,1,1,23,56,19,18,19,0,1,2,68,74,25,25,24,1,2,1,22,32,13,11,8,3,12,7,5,1015,1015,10,8,9,27,1015,9,1015,10
1016,8,9,0,24,8,7,9,1,2,5,32,53,19,16,18,3,2,1,8,20,8,9,3,3,15,2,1,1016,1016,4,6,5,15,1016,12,1016,5
1017,7,13,15,45,14,18,13,6,10,14,24,52,15,22,15,4,1,1,12,28,11,9,8,2,15,10,4,1017,1017,8,8,8,24,1017,8,1017,7
1018,3,4,24,46,18,11,17,1,5,5,62,67,21,25,21,0,1,0,14,29,9,10,10,1,15,13,5,1018,1018,7,8,8,23,1018,12,1018,8
1019,1,2,15,33,9,12,12,1,5,5,4,37,16,11,10,0,1,2,7,19,6,9,4,3,11,8,5,1019,1019,9,9,7,25,1019,15,1019,11
1020,5,8,19,56,17,19,20,3,3,7,49,61,20,19,22,4,3,1,20,26,9,11,6,4,13,7,5,1020,1020,7,8,5,20,1020,9,1020,10
1021,18,19,10,42,16,11,15,1,17,18,29,51,18,14,19,1,4,1,4,19,7,6,6,5,15,5,4,1021,1021,6,9,5,20,1021,12,1021,6
1022,7,9,45,63,17,25,21,2,2,3,30,51,15,17,19,1,0,0,22,33,14,8,11,0,13,10,5,1022,1022,10,11,12,33,1022,12,1022,9
1023,8,9,24,47,18,15,14,1,8,8,35,54,17,15,22,0,3,0,13,22,8,8,6,3,11,4,5,1023,1023,8,8,9,25,1023,8,1023,4
1024,2,3,28,56,19,15,22,1,4,4,72,74,24,25,25,0,1,2,22,32,9,13,10,3,15,10,5,1024,1024,8,9,7,24,1024,9,1024,8
1025,2,5,31,54,16,20,18,3,2,2,31,44,17,12,15,0,0,0,12,24,10,6,8,0,14,9,5,1025,1025,4,7,5,16,1025,9,1025,6
1026,2,2,51,67,22,22,23,0,4,5,51,60,21,25,14,1,2,1,7,18,5,7,6,3,15,11,5,1026,1026,10,7,9,26,1026,10,1026,9
1027,2,2,17,40,13,13,14,0,0,0,9,32,9,11,12,0,2,1,6,17,3,7,7,3,12,6,5,1027,1027,9,9,9,27,1027,15,1027,9
1028,4,7,29,47,9,20,18,3,3,6,28,54,17,19,18,3,2,0,12,25,8,6,11,2,14,8,5,1028,1028,7,9,5,21,1028,9,1028,11
1029,2,3,14,46,17,14,15,1,2,6,37,61,21,18,22,4,1,1,7,16,3,5,8,2,15,8,3,1029,1029,4,7,8,19,1029,10,1029,6
1030,3,3,23,55,18,17,20,0,5,6,40,63,17,23,23,1,4,0,16,23,6,11,6,4,11,8,5,1030,1030,9,9,9,27,1030,10,1030,10
1031,6,6,0,11,6,5,0,0,3,4,13,23,5,5,13,1,2,0,2,9,4,3,2,2,15,5,2,1031,1031,8,5,5,18,1031,6,1031,8
1032,7,9,26,45,12,20,13,2,12,21,42,55,25,10,20,9,4,2,7,25,9,8,8,6,15,8,4,1032,1032,6,5,4,15,1032,13,1032,9
1033,6,7,44,68,21,24,23,1,2,5,68,72,25,22,25,3,1,0,30,36,14,11,11,1,13,10,5,1033,1033,6,9,10,25,1033,11,1033,11
1034,5,5,37,49,14,12,23,0,2,4,28,55,22,14,19,2,3,0,14,24,9,7,8,3,10,8,5,1034,1034,8,9,9,26,1034,12,1034,12
1035,2,3,41,58,20,20,18,1,4,5,54,68,25,25,18,1,0,0,28,33,10,13,10,0,12,7,5,1035,1035,10,9,8,27,1035,11,1035,7
1036,1,2,55,68,23,24,21,1,2,4,49,65,25,19,21,2,1,0,23,31,10,10,11,1,12,10,5,1036,1036,11,8,12,31,1036,13,1036,8
1037,5,6,24,42,9,17,16,1,2,6,25,46,19,13,14,4,1,0,9,25,9,5,11,1,15,9,5,1037,1037,8,7,5,20,1037,12,1037,8
1038,4,9,19,50,13,18,19,5,7,7,68,74,25,24,25,0,2,4,12,30,9,10,11,6,13,6,5,1038,1038,6,9,7,22,1038,10,1038,8
1039,6,7,37,61,21,21,19,1,3,5,61,68,20,23,25,2,1,0,28,38,13,11,14,1,14,8,5,1039,1039,10,8,7,25,1039,8,1039,8
1040,2,4,42,56,20,20,16,2, , , , , , , , ,1,0,19,31,7,12,12,1,11,9,5,1040,1040,9,8,8,25,1040,13,1040,13
1041,0,3,38,66,23,20,23,3, , , , , , , , ,6,2,11,27,12,5,10,8,11,7,5,1041,1041,9,8,7,24,1041,12,1041,7
1042,5,6,53,65,25,19,21,1,3,3,68,73,25,23,25,0,1,0,29,37,12,13,12,1,15,10,5,1042,1042,3,6,7,16,1042,10,1042,9
1043,2,2,8,46,12,18,16,0,0,0,50,64,20,22,22,0,1,1,16,28,9,9,10,2,15,8,5,1043,1043,9,9,9,27,1043,10,1043,9
1044,2,4,18,39,14,16,9,2,1,5,57,64,19,23,22,4,1,1,15,22,4,8,10,2,15,13,4,1044,1044,8,7,6,21,1044,10,1044,9
1045,6,6,7,28,8,8,12,0,8,9,0,12,9,1,2,1,3,1,7,16,4,4,8,4,11,5,5,1045,1045,10,10,8,28,1045,10,1045,6
1046,8,9,50,61,18,19,24,1,2,3,37,58,20,19,19,1,5,1,16,30,11,8,11,6,11,9,5,1046,1046,11,10,9,30,1046,11,1046,11
1047,2,3,50,66,23,20,23,1,3,3,33,59,18,24,17,0,1,0,27,32,10,10,12,1,15,8,5,1047,1047,9,9,11,29,1047,14,1047,10
1048,3,4,28,49,16,15,18,1,2,6,61,70,24,21,25,4,1,0,18,29,9,8,12,1,12,7,5,1048,1048,10,7,7,24,1048,15,1048,10
1049,3,6,23,58,22,17,19,3,2,6,41,60,16,20,24,4,2,0,13,28,7,11,10,2,10,7,5,1049,1049,10,7,5,22,1049,14,1049,8
1050,4,6,50,62,18,21,23,2,4,4,8,25,14,4,7,0,2,3,8,18,6,9,3,5,15,5,4,1050,1050,8,6,7,21,1050,9,1050,12
1051,5,5,0,24,5,6,13,0,9,15,0,23,13,7,3,6,5,0,17,33,10,12,11,5,15,8,4,1051,1051,8,10,8,26,1051,9,1051,6
1052,3,6,33,58,18,19,21,3,7,13,24,54,22,16,16,6,1,0,35,40,13,13,14,1,15,10,4,1052,1052,9,10,10,29,1052,15,1052,10
1053,4,7,44,67,19,24,24,3,0,0,61,71,23,25,23,0,1,0,7,20,6,7,7,1,13,7,5,1053,1053,9,8,8,25,1053,9,1053,8
1054,2,3,44,63,21,19,23,1,3,4,68,70,25,20,25,1,2,0,25,31,11,10,10,2,14,12,5,1054,1054,8,8,5,21,1054,12,1054,8
1055,1,2,22,44,11,15,18,1,6,9,34,58,19,20,19,3,1,0,15,25,7,9,9,1,15,7,5,1055,1055,9,9,6,24,1055,12,1055,11
1056,3,5,27,44,12,17,15,2,2,2,50,67,23,21,23,0,0,0,17,30,10,9,11,0,15,14,5,1056,1056,9,10,9,28,1056,7,1056,8
1057,1,1,7,33,12,14,7,0,4,5,0,5,3,1,1,1,13,0,4,11,6,3,2,13,15,8,4,1057,1057,6,7,8,21,1057,13,1057,10
1058,4,4,10,35,14,9,12,0,5,5,24,49,11,18,20,0,2,0,7,22,7,6,9,2,15,8,3,1058,1058,8,6,2,16,1058,13,1058,7
1300,4,13,38,63,23,20,20,9,3,3,68,74,25,24,25,0,1,0,35,40,13,14,13,1,15,11,5,1300,1300,9,10,9,28,1300,12,1300,8
1301,2,2,46,65,18,22,25,0,3,4,61,71,22,24,25,1,4,1,32,39,12,13,14,5,11,9,5,1301,1301,10,9,12,31,1301,16,1301,10
1302,9,10,37,57,23,17,17,1,9,14,23,48,15,15,18,5,5,1,9,24,7,11,6,6,15,7,5,1302,1302,8,7,7,22,1302,13,1302,10
1303,1,1,63,71,23,23,25,0,4,6,42,54,15,23,16,2,2,0,29,36,12,14,10,2,13,10,5,1303,1303,9,7,5,21,1303,11,1303,10
1304,6,7,44,63,20,23,20,1,8,9,62,69,22,22,25,1,2,0,17,34,11,13,10,2,15,11,5,1304,1304,9,9,6,24,1304,12,1304,9
1305,4,6,50,60,19,22,19,2,9,11,24,40,20,11,9,2,5,0,19,29,6,12,11,5,15,7,4,1305,1305,7,6,7,20,1305,15,1305,6
1306,2,2,18,44,11,16,17,0,29,33,16,40,14,18,8,4,8,1,15,26,4,9,13,9,15,6,3,1306,1306,3,5,5,13,1306,10,1306,8
1307,1,1,37,55,22,22,11,0,2,4,44,62,23,21,18,2,1,0,20,30,10,9,11,1,15,6,3,1307,1307,6,7,8,21,1307,12,1307,12
1308,2,4,75,75,25,25,25,2,1,2,75,75,25,25,25,1,2,1,29,39,13,13,13,3,15,11,5,1308,1308,12,10,12,34,1308,11,1308,11
1309,0,0,70,72,22,25,25,0,4,4,75,75,25,25,25,0,1,0,35,38,13,11,14,1,15,11,4,1309,1309,12,10,11,33,1309,13,1309,10
1310,6,7,37,53,18,17,18,1,3,4,51,67,25,22,20,1,1,0,24,33,10,14,9,1,12,5,5,1310,1310,8,9,7,24,1310,14,1310,11
1311,3,4,38,49,16,13,20,1,4,4,49,65,22,21,22,0,1,2,23,31,11,11,9,3,13,9,5,1311,1311,8,8,9,25,1311,10,1311,8
1312,5,8,32,53,13,18,22,3,2,3,62,70,20,25,25,1,1,0,37,38,14,10,14,1,10,5,5,1312,1312,9,7,8,24,1312,11,1312,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-Erecovery..need to check if all trials completed (used text file for score because Edata aid won't open)…No final score output for Ospan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue- didn’t finish experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green- Missing, not reported missing in binder, Eprime files might be hiding somewhere in computer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
