subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal,NumberAttempted,NumberTotalScore,NumberTotalTime,,,RavensBlock1,RavensBlock2,RavensBlock3,Ravens Block4,,BeatPerception,,MelodicMemory
925,3,7,6,37,12,11,14,4,4,6,13,26,17,4,5,2,3,0,7,20,6,10,4,3,15,9,4,925,925,7,7,8,22,925,14,925,10
926,5,11,32,53,16,19,18,6,2,2,39,59,20,21,18,0,0,2,19,34,10,10,14,2,15,10,4,926,926,7,7,7,21,926,13,926,9
927,1,2,14,37,16,9,12,1,3,4,26,44,22,15,7,1,8,3,10,16,6,5,5,11,15,8,3,927,927,8,7,3,18,927,9,927,8
928,5,5,38,60,24,20,16,0,2,3,45,67,24,22,21,1,2,0,13,28,10,9,9,2,9,6,5,928,928,7,7,6,20,928,13,928,7
929,2,4,38,61,22,21,18,2,3,3,48,64,19,24,21,0,3,1,12,20,6,6,8,4,15,12,5,929,929,6,5,8,19,929,11,929,7
930,4,8,43,58,13,25,20,4,2,2,56,69,20,24,25,0,7,0,24,30,9,13,8,7,14,8,5,930,930,11,9,11,31,930,13,930,10
931,23,24,17,43,15,12,16,1,9,11,25,45,18,15,12,2,2,0,15,25,9,9,7,2,15,4,2,931,931,8,7,7,22,931,12,931,7
932,7,9,17,36,10,17,9,2,8,11,6,24,12,8,4,3,4,1,8,26,7,7,12,5,15,4,5,932,932,6,6,6,18,932,9,932,7
933,8,9,14,45,11,15,19,1,10,13,34,44,13,13,18,3,8,0,18,26,8,8,10,8,13,4,5,933,933,8,8,6,22,933,12,933,5
934,1,1,6,23,9,7,7,0,2,2,0,10,4,1,5,0,0,0,0,4,2,1,1,0,15,6,3,934,934,5,6,8,19,934,11,934,6
935,0,2,28,54,18,20,16,2,1,6,38,58,17,22,19,5,2,2,13,26,7,9,10,4,9,6,5,935,935,10,6,4,20,935,13,935,10
936,6,7,12,37,8,13,16,1,3,5,6,21,8,2,11,2,3,0,7,13,7,3,3,3,13,9,5,936,936,11,9,11,31,936,8,936,6
937,2,2,29,62,23,18,21,0,1,2,69,73,25,23,25,1,0,1,20,33,10,13,10,1,11,7,5,937,937,11,8,11,30,937,13,937,7
938,6,7,3,34,10,9,15,1,5,5,4,17,7,7,3,0,1,0,8,18,6,7,5,1,14,4,5,938,938,5,6,5,16,938,11,938,8
939,5,5,57,64,25,16,23,0,4,4,34,64,20,22,22,0,1,0,15,33,9,12,12,1,15,6,4,939,939,8,6,6,20,939,13,939,7
940,2,3,19,40,14,10,16,1,3,4,13,29,10,17,2,1,0,2,6,17,7,5,5,2,15,7,5,940,940,8,6,7,21,940,8,940,5
941,3,3,10,36,10,15,11,0,3,5,6,29,14,5,10,2,2,0,5,12,4,4,4,2,15,6,3,941,941,5,5,8,18,941,12,941,10
942,3,3,13,33,11,9,13,0,6,8,33,45,13,16,16,2,3,0,16,26,11,8,7,3,15,6,2,942,942,4,8,6,18,942,10,942,7
943,3,3,21,48,15,11,22,0,2,2,32,54,15,23,16,0,3,0,6,15,10,4,1,3,15,10,3,943,943,5,6,7,18,943,12,943,8
