"","subjectNo","MathErrorTotal","OspanScore","OspanTotal","SpeedErrorTotal","AccErrorTotal","OspanPartialScore","OspanPartialBlock1","OspanPartialBlock2","OspanPartialBlock3","OspanAbsoluteScore","MathCorrect"
"207",938,5,NA,NA,0,5,17,7,7,3,4,75
"208",939,4,NA,NA,0,4,64,20,22,22,34,77
"209",940,4,NA,NA,1,3,29,10,17,2,13,77
"210",941,5,NA,NA,2,3,29,14,5,10,6,73
"211",942,8,NA,NA,2,6,45,13,16,16,33,72
"212",943,2,NA,NA,0,2,54,15,23,16,32,79
"213",945,3,NA,NA,1,2,55,18,19,18,34,78
"214",946,2,NA,NA,1,1,40,10,14,16,20,77
"215",947,16,NA,NA,9,7,54,21,16,17,27,61
"216",948,8,NA,NA,2,6,63,21,19,23,40,73
"217",949,4,NA,NA,1,3,62,23,20,19,40,77
"218",950,5,NA,NA,1,4,17,7,4,6,0,76
"219",951,11,NA,NA,1,10,22,8,8,6,4,66
"220",952,10,NA,NA,6,4,64,16,23,25,49,70
"221",953,9,NA,NA,3,6,56,16,17,23,27,72
"222",954,7,NA,NA,2,5,28,11,16,1,11,71
"223",955,8,NA,NA,1,7,12,8,1,3,3,73
"224",956,7,NA,NA,0,7,56,18,16,22,42,73
"225",957,2,NA,NA,1,1,65,21,23,21,48,79
"226",958,3,NA,NA,2,1,47,15,15,17,29,77
"227",959,12,NA,NA,10,2,42,13,15,14,6,66
"228",960,6,NA,NA,1,5,45,16,12,17,20,75
"229",961,1,NA,NA,0,1,2,0,1,1,0,79
"230",962,7,NA,NA,5,2,56,20,21,15,32,74
"231",963,0,NA,NA,0,0,71,25,23,23,61,81
"232",964,2,NA,NA,1,1,72,22,25,25,68,77
"233",965,6,NA,NA,4,2,50,15,15,20,26,74
"234",966,7,NA,NA,0,7,72,25,24,23,63,74
"235",967,4,NA,NA,0,4,27,5,13,9,14,77
"236",968,19,NA,NA,8,11,45,13,17,15,19,58
"237",969,8,NA,NA,1,7,39,14,11,14,12,73
"238",970,29,NA,NA,4,25,56,25,21,10,48,49
"239",971,10,NA,NA,1,9,66,20,21,25,61,71
"240",972,8,NA,NA,3,5,44,14,18,12,18,71
"241",973,10,NA,NA,2,8,59,18,20,21,42,70
"242",974,4,NA,NA,0,4,14,3,8,3,3,76
"243",975,7,NA,NA,0,7,71,24,23,24,54,74
"244",977,0,NA,NA,0,0,71,23,23,25,63,81
"245",978,1,NA,NA,0,1,57,20,14,23,30,80
"246",979,7,NA,NA,2,5,8,5,1,2,0,74
"247",980,9,NA,NA,3,6,29,18,11,0,23,72
"248",981,9,NA,NA,8,1,58,21,16,21,37,71
"249",982,1,NA,NA,0,1,75,25,25,25,75,79
"250",983,12,NA,NA,7,5,30,12,13,5,7,66
"251",984,7,NA,NA,3,4,62,15,23,24,41,74
"252",985,6,NA,NA,1,5,69,21,25,23,61,75
"253",986,4,NA,NA,0,4,18,8,6,4,3,76
"254",987,9,NA,NA,4,5,26,13,1,12,12,72
